id,localized_name,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
70,Ursa,agi,Melee,1,0,0,0,1,0,1,0,2
71,Spirit Breaker,str,Melee,1,0,0,0,1,1,1,0,2
72,Gyrocopter,agi,Ranged,1,0,0,1,1,0,0,0,2
73,Alchemist,str,Melee,1,0,0,1,1,1,1,1,2
74,Invoker,int,Ranged,1,0,1,1,1,0,0,0,2
75,Silencer,int,Ranged,1,0,0,1,1,1,0,1,2
76,Outworld Destroyer,int,Ranged,1,0,0,1,1,0,0,0,4
77,Lycan,all,Melee,1,0,1,0,0,0,1,0,2
78,Brewmaster,all,Melee,1,0,0,1,1,1,1,0,2
79,Shadow Demon,int,Ranged,0,0,0,1,1,1,0,1,2
80,Lone Druid,all,Ranged,1,0,1,0,0,0,1,0,2
81,Chaos Knight,str,Melee,1,0,1,0,1,1,1,0,2
82,Meepo,agi,Melee,1,0,1,1,1,1,0,0,2
83,Treant Protector,str,Melee,0,0,0,0,1,1,1,1,2
84,Ogre Magi,str,Melee,0,0,0,1,1,1,1,1,2
85,Undying,str,Melee,0,0,0,1,1,0,1,1,2
86,Rubick,int,Ranged,0,0,0,1,1,0,0,1,2
87,Disruptor,int,Ranged,0,0,0,1,1,1,0,1,2
88,Nyx Assassin,all,Melee,0,0,0,1,1,1,0,0,6
89,Naga Siren,agi,Melee,1,0,1,0,1,1,0,1,0
90,Keeper of the Light,int,Ranged,0,0,0,1,1,0,0,1,2
91,Io,all,Ranged,0,0,0,1,0,0,0,1,0
92,Visage,all,Ranged,0,0,1,1,1,0,1,1,2
93,Slark,agi,Melee,1,0,0,1,1,0,0,0,2
94,Medusa,agi,Ranged,1,0,0,0,1,0,1,0,0
95,Troll Warlord,agi,Ranged,1,0,1,0,1,0,1,0,2
96,Centaur Warrunner,str,Melee,0,0,0,1,1,1,1,0,4
97,Magnus,all,Melee,0,0,0,1,1,1,0,0,4
98,Timbersaw,all,Melee,0,0,0,1,0,0,1,0,2
99,Bristleback,str,Melee,1,0,0,1,0,1,1,0,2
100,Tusk,str,Melee,0,0,0,1,1,1,0,0,2
101,Skywrath Mage,int,Ranged,0,0,0,1,1,0,0,1,2
102,Abaddon,all,Melee,1,0,0,0,0,0,1,1,2
103,Elder Titan,str,Melee,0,0,0,1,1,1,1,0,2
104,Legion Commander,str,Melee,1,0,0,1,1,1,1,0,2
105,Techies,all,Ranged,0,0,0,1,1,0,0,0,6
106,Ember Spirit,agi,Melee,1,0,0,1,1,1,0,0,2
107,Earth Spirit,str,Melee,0,0,0,1,1,1,1,0,2
108,Underlord,str,Melee,0,0,0,1,1,0,1,1,2
109,Terrorblade,agi,Melee,1,0,1,1,0,0,0,0,2
110,Phoenix,all,Ranged,0,0,0,1,1,1,0,1,2
111,Oracle,int,Ranged,0,0,0,1,1,0,0,1,0
112,Winter Wyvern,all,Ranged,0,0,0,1,1,0,0,1,2
113,Arc Warden,agi,Ranged,1,0,0,1,0,0,0,0,2
114,Monkey King,agi,Melee,1,0,0,0,1,1,0,0,2
119,Dark Willow,all,Ranged,0,0,0,1,1,0,0,1,2
120,Pangolier,all,Melee,1,0,0,1,1,1,1,0,2
121,Grimstroke,int,Ranged,0,0,0,1,1,0,0,1,0
123,Hoodwink,agi,Ranged,0,0,0,1,1,0,0,1,4
126,Void Spirit,all,Melee,1,0,0,1,1,0,0,0,2
128,Snapfire,all,Ranged,0,0,0,1,1,0,0,1,2
129,Mars,str,Melee,1,0,0,0,1,1,1,0,2
135,Dawnbreaker,str,Melee,1,0,0,0,0,0,1,0,2
136,Marci,all,Melee,1,0,0,0,1,1,0,1,2
137,Primal Beast,str,Melee,0,0,0,0,1,1,1,0,2
138,Muerta,int,Ranged,1,0,0,1,1,0,0,0,2
